"match_id","ldir_idx","ftir_idx","match_distance","match_score","ldir_particle_id","ldir_x_um","ldir_y_um","ldir_area_um2","ldir_major_um","ldir_minor_um","ldir_feret_min_um","ldir_feret_max_um","ldir_material","ldir_quality","ldir_source_file","ldir_diameter_um","ldir_aspect_ratio","ldir_coord_match_cost","ldir_coord_source","ldir_x_norm","ldir_y_norm","ldir_x_aligned","ldir_y_aligned","ftir_particle_id","ftir_x_um","ftir_y_um","ftir_area_um2","ftir_major_um","ftir_minor_um","ftir_feret_min_um","ftir_feret_max_um","ftir_material","ftir_quality","ftir_source_file","ftir_x_norm","ftir_y_norm","ftir_x_aligned","ftir_y_aligned","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
1,6,1,84.4262899368483,85.8110427097262,"A6",11605.0749022483,9073.49645650049,46587.5,308,219,219,308,"Polyethylene terephthalate",0.855330065989846,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",243.550913137991,1.40574005859434,0.189217564220436,"image",4581.69646377792,2225.04410508803,6200.79760711053,-2706.20992644828,"MP_-1",500,6900,2500,60.4,52.7,50,60.4,"Protein",0.771,"Comparstic Spotlight F2Ba Au 240926.csv",6136.75391755719,-2761.22087318524,6136.75391755719,-2761.22087318524,0,236.361113837072,0.357191961766794,FALSE
2,17,73,78.3399290625569,78.9152830728771,"A17",9774.81600294985,5362.2651179941,16550,447,135,135,447,"Polyethylene terephthalate",0.884980070766979,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",145.162372760185,0.302042575961249,0.195508732441897,"image",2751.43756447948,-1486.18723341836,3774.2603033884,833.584317737224,"MP_-1",3200,3450,8125,150,69,112.5,150,"Cellulose",0.771,"Comparstic Spotlight F2Ba Au 240926.csv",3706.43258471679,872.783106817129,3706.43258471679,872.783106817129,0,120.798081026166,0.648519648632397,FALSE
3,22,277,81.3759858111663,82.1248988544233,"A22",4248.62958715596,5518.82963812436,9250,143,106,106,143,"Polyethylene terephthalate",0.855234937742436,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",108.524033231355,1.35475579425798,0.0441763166714503,"image",-2774.74885131441,-1329.6227132881,-1875.69947804851,-142.591557963374,"MP_-1",8700,4800,1875,60.4,39.6,30,60.4,"Protein",0.745,"Comparstic Spotlight F2Ba Au 240926.csv",-1867.21442388707,-61.6591483698345,-1867.21442388707,-61.6591483698345,0,358.279373202107,0.227129977045209,FALSE
4,33,61,42.9313280154559,43.5253335509863,"A33",10135.8700980392,4853.00245098039,6375,416,57,57,416,"Cellulosic",0.833985981033295,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",90.0938516086789,7.29736184865589,0.395827422555158,"image",3112.49165956884,-1995.44990043207,4069.76321405476,1409.65981959866,"MP_-1",2900,2850,5000,95.7,66.5,75,95.7,"Cellulose",0.819,"Comparstic Spotlight F2Ba Au 240926.csv",4049.59140652361,1447.55701086789,4049.59140652361,1447.55701086789,1,235.270456776056,0.182476493664992,FALSE
5,38,98,99.8865391837594,100.029642241079,"A38",9433.89880952381,2799.55182072829,4550,110,57,57,110,"Polyethylene terephthalate",0.918361068411598,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.1133360755196,0.516129006996268,0.6064974440926,"image",2410.52037105343,-4048.90053068417,3046.12534326707,3414.10385666128,"MP_-1",3950,950,4375,80.9,68.9,75,80.9,"Protein",0.733,"Comparstic Spotlight F2Ba Au 240926.csv",3145.98550236741,3416.39935977914,3145.98550236741,3416.39935977914,0,189.852330090108,0.526127538894839,FALSE
6,74,248,19.2656019005136,19.5060748371613,"A74",5094.27651515152,5185.25189393939,1975,79,34,34,79,"Polyethylene terephthalate",0.89249911252012,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",50.1462670679677,0.435643561363349,1.49219992605489,"image",-1929.10192331886,-1663.20045747307,-1056.79985897246,324.636680270186,"MP_-1",7900,4350,3750,80.9,59,75,80.9,"Protein",0.954,"Comparstic Spotlight F2Ba Au 240926.csv",-1037.64109940042,326.662846169135,-1037.64109940042,326.662846169135,1,196.154741820017,0.0982163455329106,FALSE
7,81,69,69.4852967988284,69.6035375448975,"A81",8790.74296042618,9857.40582191781,1812.5,60,42,42,60,"Polyamide (naturally occurring)",0.927072222024821,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",48.0390120093293,1.4166666853986,1.71105704524788,"image",1767.3645219558,3008.95347050535,3427.34026035874,-3926.24012609102,"MP_-1",3100,8200,2500,60.4,52.7,50,60.4,"Protein",0.797,"Comparstic Spotlight F2Ba Au 240926.csv",3452.7245180949,-3861.55747053016,3452.7245180949,-3861.55747053016,0,218.07241796555,0.318634045731567,FALSE
8,114,340,74.2948348947541,74.428411108071,"A117",1734.17833333333,7464.795,1212.5,67,27,27,67,"Polycarbonate",0.714527233622709,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",39.2912579079798,0.395348846291433,1.37149057392598,"image",-5289.20010513704,616.342648587541,-4169.83158016301,-2511.31240968476,"MP_-1",10750,7450,1250,50,31.8,25,50,"Protein",0.66,"Comparstic Spotlight F2Ba Au 240926.csv",-4104.30742465622,-2546.33108380531,-4104.30742465622,-2546.33108380531,0,136.942961671671,0.542523938345077,FALSE
9,126,40,25.8938107348426,26.2586635005798,"A131",10324.276463964,6559.25394144144,1125,74,23,23,74,"Polyamide (naturally occurring)",0.922771687456672,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.8469878303024,0.306666677472898,1.7094452178802,"image",3300.89802549359,-289.198409971018,4514.95343356042,-314.1393477142,"MP_-1",2300,4550,2500,60.4,52.7,50,60.4,"Protein",0.72,"Comparstic Spotlight F2Ba Au 240926.csv",4520.25782031569,-288.79466552005,4520.25782031569,-288.79466552005,1,279.343465070019,0.0926952442877164,FALSE
10,127,253,71.7456933596141,73.9720222544595,"A132",4596.30497685185,5988.91493055555,1112.5,50,30,30,50,"Polyamide (naturally occurring)",0.933069125103516,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.6361394608675,0.6,1.83257624552472,"image",-2427.07346161852,-859.537420856905,-1449.4171922441,-573.867517599985,"MP_15",8175,5300,119375,672.4,226,297.5,672.4,"PET",0.945,"Comparstic Spotlight F2Ba Au 240926.csv",-1381.94834994011,-598.268333852957,-1381.94834994011,-598.268333852957,0,113.89596549163,0.629923044683144,FALSE
11,143,66,22.3908307056537,22.7499181020229,"A169",9947.9819023569,5312.62836700337,800,45,25,25,45,"Polyamide",0.694726033409494,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",31.9153824321146,1.8,1.79862553581517,"image",2924.60346388653,-1535.82398440909,3944.70419056983,910.092875910349,"MP_-1",2975,3375,1875,60.4,39.6,30,60.4,"Protein",0.793,"Comparstic Spotlight F2Ba Au 240926.csv",3935.91576618118,930.686877378115,3935.91576618118,930.686877378115,1,241.174992537731,0.0928405987289527,FALSE
