"match_id","ldir_idx","ftir_idx","match_distance","match_score","ldir_particle_id","ldir_x_um","ldir_y_um","ldir_area_um2","ldir_major_um","ldir_minor_um","ldir_feret_min_um","ldir_feret_max_um","ldir_material","ldir_quality","ldir_source_file","ldir_diameter_um","ldir_aspect_ratio","ldir_coord_match_cost","ldir_coord_source","ldir_x_norm","ldir_y_norm","ldir_x_aligned","ldir_y_aligned","ftir_particle_id","ftir_x_um","ftir_y_um","ftir_area_um2","ftir_major_um","ftir_minor_um","ftir_feret_min_um","ftir_feret_max_um","ftir_material","ftir_quality","ftir_source_file","ftir_x_norm","ftir_y_norm","ftir_x_aligned","ftir_y_aligned","n_ref_candidates","next_best_distance","ambiguity_score","ambiguity_flag"
1,14,70,95.1602072126192,96.5136030712564,"A14",8521.06666666667,2659.8,21112.5,437,191,191,437,"Polyethylene terephthalate",0.906822932618016,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",163.955084972138,0.437253457896217,0.284067341020022,"image",2657.82986249172,-3789.09660371107,3471.22080689466,-1384.36060882082,"MP_-1",3175,5750,1875,60.4,39.6,50,60.4,"Protein",0.789,"Comparstic Spotlight F2Ba Au 240926.csv",3560.27729455218,-1417.89278803505,3560.27729455218,-1417.89278803505,0,363.539409271955,0.26176036156078,FALSE
2,37,152,98.2126425412192,98.7502719772077,"A37",9043.50416666667,5825.1375,4575,164,62,62,164,"Carbonate",0.796739607038821,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.3221522047392,2.63671880999908,0.17677134131306,"image",3180.26736249172,-623.759103711067,1750.41975500916,1326.12015855253,"MP_-1",5100,3100,2500,60.4,52.7,50,60.4,"Protein",0.726,"Comparstic Spotlight F2Ba Au 240926.csv",1841.69772606422,1362.37005724205,1841.69772606422,1362.37005724205,0,258.115091344101,0.38049941996723,FALSE
3,38,115,7.04698565759831,7.26666840527077,"A38",5939.97083333333,1594.66666666667,4550,110,57,57,110,"Polyethylene terephthalate",0.918361068411598,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",76.1133360755196,0.516129006996268,0.0354351073165662,"image",76.7340291583823,-4854.2299370444,2255.32960150102,-3900.30180034413,"MP_7",4300,8325,3125,80.9,49.2,55,80.9,"PET",0.733,"Comparstic Spotlight F2Ba Au 240926.csv",2249.26390253799,-3896.71469803888,2249.26390253799,-3896.71469803888,1,429.862060757805,0.0163935976233287,FALSE
4,98,284,88.5644298013689,88.6866890285793,"A98",2569.88333333333,4672.47083333333,1425,53,35,35,53,"Polyamide (naturally occurring)",0.970435445372751,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",42.5953794588991,0.666666666666667,0.390600924328619,"image",-3293.35347084162,-1776.42577037773,-2311.87954295303,-3850.70280587998,"MP_-1",8950,8625,1875,60.4,39.6,50,60.4,"Protein",0.755,"Comparstic Spotlight F2Ba Au 240926.csv",-2400.43539809046,-3849.47043137564,-2400.43539809046,-3849.47043137564,0,137.096367504401,0.646001286638944,FALSE
5,103,333,3.76131056335026,3.88016825511964,"A103",5759,10151.9708333333,1375,65,41,41,65,"Polyamide (naturally occurring)",0.805443938699752,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",41.84141935942,0.627906964891254,0.641388599846742,"image",-104.23680417495,3703.07422962227,-3585.78390005368,2364.86797349034,"MP_-1",10600,2500,1875,60.4,39.6,50,60.4,"Protein",0.735,"Comparstic Spotlight F2Ba Au 240926.csv",-3586.9424211079,2368.44642093594,-3586.9424211079,2368.44642093594,1,365.454896081602,0.010292133457997,FALSE
6,129,280,30.914162258004,31.2161137959164,"A129",1158.4625,3190.30833333333,1125,40,35,35,40,"Polyamide (naturally occurring)",0.925494398314711,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",37.8469878303024,0.875,0.546680359463814,"image",-4704.77430417495,-3258.58827037773,-2376.82935327005,-5897.90302435672,"MP_-1",8750,10650,1875,60.4,39.6,30,60.4,"Protein",0.72,"Comparstic Spotlight F2Ba Au 240926.csv",-2351.9918958459,-5879.49688036029,-2351.9918958459,-5879.49688036029,1,363.468342760297,0.085053245691858,FALSE
7,154,312,29.3356850666584,30.1726356842576,"A154",6173.375,9894.51666666667,925,35,32,32,35,"Polytetrafluoroethylene",0.659396083088727,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",34.3183125878885,1.11111124431598,0.440144186770139,"image",310.13819582505,3445.6200629556,-3104.88670145643,2449.0520767138,"MP_-1",10100,2400,4375,104.1,53.5,77.5,104.1,"Cellulose",0.668,"Comparstic Spotlight F2Ba Au 240926.csv",-3081.93729516759,2430.7789497422,-3081.93729516759,2430.7789497422,1,118.80409249172,0.246924869769978,FALSE
8,156,350,69.801414311366,70.296901698767,"A156",3296.04166666667,8770.55833333333,900,36,34,34,36,"Cellulosic",0.839816627593298,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",33.8513750128654,1.06666668088321,0.512349240303097,"image",-2567.19513750828,2321.66172962227,-4502.61866522524,-308.320009288313,"MP_23",11300,5175,1875,75,31.8,52.5,75,"PET",0.733,"Comparstic Spotlight F2Ba Au 240926.csv",-4482.45851728559,-241.493323937935,-4482.45851728559,-241.493323937935,0,366.94486807485,0.190223165342451,FALSE
9,171,358,76.7333104901746,78.4033123932035,"A171",4627.24166666667,10377.8458333333,800,35,28,28,35,"Polycarbonate",0.838984365484226,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",31.9153824321146,1.25000012644056,0.62122819621813,"image",-1235.99513750828,3928.94922962227,-4580.96736891126,1778.76230524453,"MP_24",11625,3150,28750,238.6,153.4,192.5,238.6,"PET",0.888,"Comparstic Spotlight F2Ba Au 240926.csv",-4655.29423868918,1797.82843667696,-4655.29423868918,1797.82843667696,0,507.82900763656,0.151100684159993,FALSE
10,174,262,82.261883192076,82.4719113550227,"A174",2516.25833333333,3702.61666666666,787.5,55,20,20,55,"Carbonate",0.864125561005239,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",31.6650618423356,0.363636363636364,0.701362941933681,"image",-3346.97847084162,-2746.2799370444,-1705.19196804252,-4610.2087613735,"MP_-1",8150,9400,1250,50,31.8,50,50,"Protein",0.661,"Comparstic Spotlight F2Ba Au 240926.csv",-1661.95612758016,-4680.19218459515,-1661.95612758016,-4680.19218459515,0,397.949321619323,0.206714470217812,FALSE
11,180,136,79.6852666604751,80.2593074162804,"A180",8059.8375,4361.06666666667,775,30,30,30,30,"Carbonate",0.686957881547874,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",31.4127465715711,1,0.339702466078804,"image",2196.60069582505,-2087.8299370444,1992.6155557176,-422.350044670465,"MP_-1",4850,4800,2500,60.4,52.7,50,60.4,"Protein",0.808,"Comparstic Spotlight F2Ba Au 240926.csv",1964.06592621102,-347.954746581217,1964.06592621102,-347.954746581217,0,591.904255279881,0.134625264051863,FALSE
12,183,101,99.1431524626777,99.8123705943984,"A183",5043.94583333333,346.9375,762.5,35,30,30,35,"Polyamide (naturally occurring)",0.933151115187775,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",31.1583881621075,1.16666666666667,0.3932979982147,"image",-819.290970841616,-6101.95910371107,2418.66952233863,-5428.88817439236,"MP_-1",4050,9750,3125,75,53.1,55,75,"Protein",0.852,"Comparstic Spotlight F2Ba Au 240926.csv",2392.08178827131,-5333.37661971229,2392.08178827131,-5333.37661971229,0,157.392447800933,0.629910480762532,FALSE
13,204,192,60.6530352750819,61.5257909001622,"A204",5951.12916666667,4428.07083333333,725,41,28,28,41,"Polyethylene terephthalate",0.858466609997686,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",30.3825388987325,0.690476187719499,0.484026279031828,"image",87.892362491717,-2020.82577037773,374.324480619695,-1778.44870921487,"MP_-1",6300,6400,5000,104.1,61.2,50,104.1,"Cellulose",0.746,"Comparstic Spotlight F2Ba Au 240926.csv",402.136195099216,-1832.34953690601,402.136195099216,-1832.34953690601,0,565.699128946775,0.107217833953548,FALSE
14,224,295,58.0457266680925,58.4813237084551,"A224",4375.25833333333,7073.19166666667,675,42,22,22,42,"Rubber",0.805345164262843,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",29.3161507141752,0.526315765845089,0.517460980821182,"image",-1487.97847084162,624.295062955599,-2565.44410578713,-855.342213420354,"MP_-1",9375,5600,1875,60.4,39.6,50,60.4,"Protein",0.716,"Comparstic Spotlight F2Ba Au 240926.csv",-2598.42240177936,-807.574668184325,-2598.42240177936,-807.574668184325,0,453.924541260592,0.127875277478706,FALSE
15,253,232,96.1293753537561,97.0189670219566,"A253",1941.00833333333,2234.5375,612.5,30,25,25,30,"Polyamide (naturally occurring)",0.957048639492698,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",27.9259596281003,1.2,0.611010590658777,"image",-3922.22847084162,-4214.35910371107,-1155.54464090283,-6089.33532397736,"MP_-1",7525,10675,4375,80.9,68.9,55,80.9,"Protein",0.815,"Comparstic Spotlight F2Ba Au 240926.csv",-1134.80721041346,-5995.46937816844,-1134.80721041346,-5995.46937816844,0,270.019921140966,0.356008456515217,FALSE
16,255,208,93.5756270184709,94.1425335375614,"A255",2342.54583333333,1477.72083333333,612.5,30,25,25,30,"Polyamide (naturally occurring)",0.918731642282479,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",27.9259596281003,1.2,0.611010590658777,"image",-3520.69097084162,-4971.17577037773,-351.249258260179,-6386.35793154662,"MP_-1",6700,11100,1875,60.4,39.6,30,60.4,"Protein",0.714,"Comparstic Spotlight F2Ba Au 240926.csv",-345.422623506689,-6479.75198006872,-345.422623506689,-6479.75198006872,0,226.289182862907,0.413522316155792,FALSE
17,277,47,40.6662075656499,41.0954278895092,"A277",10592.7791666667,3579.65833333333,587.5,28,25,25,28,"Polyamide (naturally occurring)",0.967805796044635,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",27.3501047992857,1.14285711533267,0.444898613763678,"image",4729.54236249172,-2869.23827037773,4403.85773173265,683.509839064278,"MP_-1",2450,3575,1250,50,31.8,30,50,"Protein",0.687,"Comparstic Spotlight F2Ba Au 240926.csv",4443.49058804072,692.619017876662,4443.49058804072,692.619017876662,1,386.41240026657,0.105240431046198,FALSE
18,306,289,92.5069530384556,95.025502942324,"A306",5271.71666666667,7956.86666666667,550,30,25,25,30,"Polyamide (naturally occurring)",0.954875118476621,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",26.4628371420061,0.833333333333333,0.327940140693726,"image",-591.520137508283,1507.9700629556,-2485.70701401213,401.859643242445,"MP_17",9425,4325,91875,638.7,183.1,252.5,638.7,"PET",0.959,"Comparstic Spotlight F2Ba Au 240926.csv",-2553.36711081453,464.944091889865,-2553.36711081453,464.944091889865,0,373.760518069047,0.247503277008425,FALSE
19,316,121,70.4059559378593,70.9923796375027,"A316",6483.96666666667,2211.67916666666,537.5,30,20,20,30,"Polyamide (naturally occurring)",0.973096407933045,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",26.1603947847725,0.666666666666667,0.390150372071706,"image",620.729862491717,-4237.2174370444,2249.85570099137,-3077.11964494908,"MP_-1",4375,7575,1875,60.4,39.6,30,60.4,"Protein",0.701,"Comparstic Spotlight F2Ba Au 240926.csv",2230.40044082401,-3144.78419610657,2230.40044082401,-3144.78419610657,0,201.170065553242,0.34998226870501,FALSE
20,324,195,55.6531488112876,56.5797717789177,"A324",3311.64166666667,1951.84166666667,525,25,25,25,25,"Cellulosic",0.784865772545517,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",25.8544147291321,1,0.712481012657122,"image",-2551.59513750828,-4497.0549370444,55.7865079061241,-5386.34852413733,"MP_-1",6325,9975,3125,80.9,49.2,55,80.9,"Protein",0.831,"Comparstic Spotlight F2Ba Au 240926.csv",111.411838642554,-5388.10794252818,111.411838642554,-5388.10794252818,0,251.061008176957,0.221671812821134,FALSE
21,325,243,55.3977931139203,56.8774576407157,"A325",9131.30833333333,9530.51666666667,525,25,25,25,25,"Polyamide (naturally occurring)",0.962711253353756,"Comparstic LDIR F2Ba Au MP2 240925.xlsx",25.8544147291321,1,0.542581975861725,"image",3268.07152915838,3081.6200629556,-654.827315017503,4149.78784115787,"MP_-1",7825,450,10625,150,90.2,100,150,"Protein",0.945,"Comparstic Spotlight F2Ba Au 240926.csv",-672.992045041525,4202.12289695269,-672.992045041525,4202.12289695269,0,292.979886024616,0.189083946565757,FALSE
