"match_id","ftir_idx","raman_idx","match_distance","match_score","ftir_particle_id","ftir_x_um","ftir_y_um","ftir_area_um2","ftir_major_um","ftir_minor_um","ftir_feret_min_um","ftir_feret_max_um","ftir_material","ftir_quality","ftir_source_file","ftir_x_norm","ftir_y_norm","ftir_x_aligned","ftir_y_aligned","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm"
1,228,246,1.85513280462827,1.85513280462827,"MP_-1",7375,6775,625,31.8,25,25,31.8,"Cellulose",0.673,"Comparstic Spotlight F2Ba Au 240926.csv",630.208333333333,1798.95833333333,-1398.84852869282,-1637.15334594735,"642",4659.91501389594,200.027643407534,868.703,37.314,29.852,29.852,37.76,"Polyamide (PA)",81.8,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1400.31588052828,-1638.28842141347
2,312,256,2.09408232413577,2.09408232413577,"MP_-1",10100,2400,4375,104.1,53.5,77.5,104.1,"Cellulose",0.668,"Comparstic Spotlight F2Ba Au 240926.csv",3355.20833333333,-2576.04166666667,-3788.70548756276,2920.433674552,"493",2269.49759630177,4759.27239137414,4039.174,94.151,57.665,57.295,94.721,"Polyamide (PA)",80.9,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3790.73329812245,2920.95632655313
3,32,103,2.95450200104851,2.95450200104851,"MP_-1",2125,7025,2500,75,42.4,55,75,"Protein",0.769,"Comparstic Spotlight F2Ba Au 240926.csv",-4619.79166666667,2048.95833333333,3810.05441718686,-2274.16094562273,"404",9871.87460427479,-438.335509417808,1068.413,40.443,35.539,35.539,40.919,"Polyacrylamide/acrylate",91.18,"Comparstic Raman F2Ba Au IAEA 240930.csv",3811.64370985057,-2276.65157423882
4,242,96,3.00831618176396,3.00831618176396,"MP_-1",7725,5200,4375,95.7,58.2,75,95.7,"Protein",0.875,"Comparstic Spotlight F2Ba Au 240926.csv",980.208333333333,223.958333333333,-1630.91536211001,-43.0660904630449,"627",4429.71391292205,1798.23179580479,1418.234,56.172,40.244,40.237,58.278,"Cellulose Acetate Butyrate (CAB)",91.38,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1630.51698150217,-40.0842690162183
5,254,19,3.3434424801608,3.3434424801608,"MP_-1",7950,3550,2500,75,42.4,55,75,"Protein",0.763,"Comparstic Spotlight F2Ba Au 240926.csv",1205.20833333333,-1426.04166666667,-1732.97662601189,1616.45795804228,"23",4326.38174789637,3451.54643621575,879.414,37.036,30.185,29.633,39.578,"Cellulose Acetate Butyrate (CAB)",93.97,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1733.84914652785,1613.23037139474
6,119,63,3.54483657730105,3.54483657730105,"MP_-1",4350,5450,5000,104.1,61.2,80,104.1,"Protein",0.859,"Comparstic Spotlight F2Ba Au 240926.csv",-2394.79166666667,473.958333333333,1711.06502500583,-541.472050195497,"315",7773.65758666991,1294.20045751284,2415.793,65.173,55.075,54.427,67.895,"Cellulose Acetate Butyrate (CAB)",92.39,"Comparstic Raman F2Ba Au IAEA 240930.csv",1713.42669224569,-544.115607308168
7,161,8,3.8085139464763,3.8085139464763,"MP_-1",5325,7725,3750,80.9,59,75,80.9,"Protein",0.803,"Comparstic Spotlight F2Ba Au 240926.csv",-1419.79166666667,2748.95833333333,572.095304651218,-2734.59856872529,"706",6633.55936588652,-899.885846532534,2484.505,68.389,50.015,46.905,72.907,"Polyamide (PA)",95.31,"Comparstic Raman F2Ba Au IAEA 240930.csv",573.328471462302,-2738.20191135354
8,133,265,4.27571629797797,4.27571629797797,"MP_8",4725,7200,6250,115.1,69.1,75,115.1,"PET",0.788,"Comparstic Spotlight F2Ba Au 240926.csv",-2019.79166666667,2223.95833333333,1208.31898263967,-2256.21277705316,"338",7269.05218079448,-413.650603328339,11281.279,149.996,111.704,111.704,163.995,"Polyethylene terephtalate (PET)",80.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",1208.82128637026,-2251.96666814935
9,230,153,4.28218156780785,4.28218156780785,"MP_-1",7450,4350,3125,80.9,49.2,75,80.9,"Protein",0.8,"Comparstic Spotlight F2Ba Au 240926.csv",705.208333333333,-626.041666666667,-1294.26731005052,782.943895651598,"701",4770.13598992334,2620.29657534247,822.731,42.763,30.511,30.283,45.185,"Polyacrylamide/acrylate",89.66,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1290.09490450088,781.980510521462
10,142,26,4.53315865289614,4.53315865289614,"MP_-1",4950,2475,1875,60.4,39.6,30,60.4,"Protein",0.721,"Comparstic Spotlight F2Ba Au 240926.csv",-1794.79166666667,-2501.04166666667,1333.56440824419,2465.06426782486,"113",7390.7545084914,4300.01832459332,804.935,33.87,30.426,30.426,34.91,"Cellulose Acetate Butyrate (CAB)",93.44,"Comparstic Raman F2Ba Au IAEA 240930.csv",1330.52361406718,2461.70225977231
