"match_id","ftir_idx","raman_idx","match_distance","match_score","ftir_particle_id","ftir_x_um","ftir_y_um","ftir_area_um2","ftir_major_um","ftir_minor_um","ftir_feret_min_um","ftir_feret_max_um","ftir_material","ftir_quality","ftir_source_file","ftir_x_norm","ftir_y_norm","ftir_x_aligned","ftir_y_aligned","raman_particle_id","raman_x_um","raman_y_um","raman_area_um2","raman_major_um","raman_minor_um","raman_feret_min_um","raman_feret_max_um","raman_material","raman_quality","raman_source_file","raman_x_norm","raman_y_norm"
1,302,71,4.66868098595829,4.66868098595829,"MP_-1",9500,3050,3750,80.9,59,50,80.9,"Protein",0.857,"Comparstic Spotlight F2Ba Au 240926.csv",2755.20833333333,-1926.04166666667,2883.14632222208,-372.048530679267,"703",9000.44001255818,960.093123929794,665.204,42.593,21.47,21.47,41.874,"Cellulose Acetate Butyrate (CAB)",92.14,"Comparstic Raman F2Ba Au IAEA 240930.csv",2880.73419433695,-368.051253954491
2,162,69,25.9938166447684,25.9938166447684,"MP_-1",5375,7900,5000,95.7,66.5,75,95.7,"Protein",0.887,"Comparstic Spotlight F2Ba Au 240926.csv",-1369.79166666667,2923.95833333333,-2150.17627989825,2242.06183777289,"754",3995.1447522307,3565.78588532748,612.311,33.296,23.537,23.537,33.375,"Cellulose Acetate Butyrate (CAB)",92.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2124.56106599053,2237.6415074432
3,173,19,28.600637455408,28.600637455408,"MP_-1",5675,7650,3750,80.9,59,55,80.9,"Protein",0.775,"Comparstic Spotlight F2Ba Au 240926.csv",-1069.79166666667,2673.95833333333,-1818.65207536668,2136.68696041832,"23",4326.38174789637,3451.54643621575,879.414,37.036,30.185,29.633,39.578,"Cellulose Acetate Butyrate (CAB)",93.97,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1793.32407032486,2123.40205833147
4,306,197,35.1943038535853,35.1943038535853,"MP_-1",9750,5850,1875,60.4,39.6,50,60.4,"Protein",0.75,"Comparstic Spotlight F2Ba Au 240926.csv",3005.20833333333,873.958333333333,2148.05254504351,2021.78683283779,"105",8302.9478986348,3350.51054152397,765.883,39.037,26.981,26.766,39.037,"Cellulose Acetate Butyrate (CAB)",86.83,"Comparstic Raman F2Ba Au IAEA 240930.csv",2183.24208041357,2022.36616363969
5,253,224,42.0179754555639,42.0179754555639,"MP_15",8175,5300,119375,672.4,226,297.5,672.4,"PET",0.945,"Comparstic Spotlight F2Ba Au 240926.csv",1430.20833333333,323.958333333333,1033.69961887995,1038.5831255051,"169",7127.2574876759,2333.83685118793,401.891,23.537,22.389,22.389,23.755,"Polyamide (PA)",84.41,"Comparstic Raman F2Ba Au IAEA 240930.csv",1007.55166945467,1005.69247330364
6,221,260,49.8390545272746,49.8390545272746,"MP_-1",7050,2650,1875,60.4,39.6,50,60.4,"Protein",0.676,"Comparstic Spotlight F2Ba Au 240926.csv",305.208333333333,-2326.04166666667,996.556371141607,-1525.67759755942,"160",7142.75731242976,-155.320190764127,370.089,30.834,21.621,21.37,33.888,"Polyacrylamide/acrylate",80.71,"Comparstic Raman F2Ba Au IAEA 240930.csv",1023.05149420853,-1483.46456864841
7,188,8,50.5582937770772,50.5582937770772,"MP_-1",6200,2150,2500,60.4,52.7,50,60.4,"Protein",0.728,"Comparstic Spotlight F2Ba Au 240926.csv",-544.791666666667,-2826.04166666667,463.46430799317,-2223.89917189778,"706",6633.55936588652,-899.885846532534,2484.505,68.389,50.015,46.905,72.907,"Polyamide (PA)",95.31,"Comparstic Raman F2Ba Au IAEA 240930.csv",513.853547665289,-2228.03022441682
8,34,172,54.7551428821783,54.7551428821783,"MP_-1",2175,9775,1875,60.4,39.6,30,60.4,"Protein",0.67,"Comparstic Spotlight F2Ba Au 240926.csv",-4569.79166666667,4798.95833333333,-5420.28605429952,2712.99532920959,"193",704.589363746119,4095.65026487586,32592.521,249.366,176.886,174.968,256.952,"Polyethylene terephtalate (PET)",88.68,"Comparstic Raman F2Ba Au IAEA 240930.csv",-5415.11645447511,2767.50588699158
9,218,192,56.0059603195986,56.0059603195986,"MP_-1",6950,6450,2500,60.4,52.7,50,60.4,"Protein",0.681,"Comparstic Spotlight F2Ba Au 240926.csv",205.208333333333,1473.95833333333,-363.448430108179,1575.41661791719,"462",5747.77308458301,2848.20140598245,2307.534,68.645,42.399,42.365,68.769,"Polyamide (PA)",87.17,"Comparstic Raman F2Ba Au IAEA 240930.csv",-371.932733638221,1520.05702809817
10,16,5,56.5652780732449,56.5652780732449,"MP_-1",1550,5650,2500,60.4,52.7,50,60.4,"Protein",0.739,"Comparstic Spotlight F2Ba Au 240926.csv",-5194.79166666667,673.958333333333,-4549.09056406621,-899.935246749738,"454",1536.41329220288,383.155202536387,1996.93,105.231,29.38,29.38,99.314,"Polypropylene (PP)",96.54,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4583.29252601835,-944.989175347898
11,272,208,56.9710823764256,56.9710823764256,"MP_-1",8575,7075,2500,75,42.4,30,75,"Protein",0.753,"Comparstic Spotlight F2Ba Au 240926.csv",1830.20833333333,2098.95833333333,766.9366595991,2637.2990331101,"384",6917.14875212368,4013.55860043878,696.347,35.018,27.555,27.278,36.456,"Cellulose Acetate Butyrate (CAB)",86.2,"Comparstic Raman F2Ba Au IAEA 240930.csv",797.442933902449,2685.4142225545
12,226,32,57.7560292000415,57.7560292000415,"MP_-1",7175,10025,1875,60.4,39.6,30,60.4,"Protein",0.721,"Comparstic Spotlight F2Ba Au 240926.csv",430.208333333333,5048.95833333333,-1379.71060178187,4600.16375417441,"568",4731.09939424697,5871.24130056721,488.234,37.995,19.079,19.079,37.888,"Cellulose Acetate Butyrate (CAB)",93.35,"Comparstic Raman F2Ba Au IAEA 240930.csv",-1388.60642397426,4543.09692268292
13,197,61,60.6701944861945,60.6701944861945,"MP_-1",6475,4175,5000,104.1,61.2,95,104.1,"Cellulose",0.712,"Comparstic Spotlight F2Ba Au 240926.csv",-269.791666666667,-801.041666666667,9.53892530973344,-460.975581120895,"27",6178.32377219003,831.501985231164,428.255,28.91,23.105,22.963,32.068,"Cellulose Acetate Butyrate (CAB)",92.43,"Comparstic Raman F2Ba Au IAEA 240930.csv",58.6179539687982,-496.642392653121
14,311,49,62.9815317602651,62.9815317602651,"MP_-1",10050,5975,625,31.8,25,25,31.8,"Protein",0.694,"Comparstic Spotlight F2Ba Au 240926.csv",3305.20833333333,998.958333333333,2353.50645139511,2225.75862933104,"704",8472.29783576023,3616.87790025685,1859.341,75.74,33.749,33.749,75.736,"Polyethylene terephtalate (PET)",92.9,"Comparstic Raman F2Ba Au IAEA 240930.csv",2352.592017539,2288.73352237256
15,185,309,63.6183037776002,63.6183037776002,"MP_-1",6175,2450,3125,80.9,49.2,50,80.9,"Cellulose",0.74,"Comparstic Spotlight F2Ba Au 240926.csv",-569.791666666667,-2526.04166666667,341.984957859339,-1984.82651936485,"512",6481.43145626537,-596.204094873716,535.03,29.57,26.101,26.101,30.85,"Polyacrylamide/acrylate",70.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",361.725638044139,-1924.348472758
16,318,279,65.3609346892793,65.3609346892793,"MP_-1",10225,7575,7500,136.8,69.8,75,136.8,"Cellulose",0.872,"Comparstic Spotlight F2Ba Au 240926.csv",3480.20833333333,2598.95833333333,1959.96829362289,3604.47057689906,"350",8015.91410689679,4946.9924911708,573.588,34.484,22.166,22.166,34.444,"Polyacrylamide/acrylate",77.26,"Comparstic Raman F2Ba Au IAEA 240930.csv",1896.20828867556,3618.84811328652
17,55,221,66.5608317644464,66.5608317644464,"MP_-1",2675,8050,1875,60.4,39.6,30,60.4,"Protein",0.73,"Comparstic Spotlight F2Ba Au 240926.csv",-4069.79166666667,3073.95833333333,-4427.90045087456,1458.09436041623,"469",1720.11491891521,2846.47920323202,3365.566,87.167,63.385,63.385,86.684,"Polyacrylamide/acrylate",84.88,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4399.59089930602,1518.33482534774
18,177,20,67.9551074843938,67.9551074843938,"MP_-1",5750,5325,3750,80.9,59,50,80.9,"Cellulose",0.737,"Comparstic Spotlight F2Ba Au 240926.csv",-994.791666666667,348.958333333333,-975.146891881298,243.951642197817,"106",5181.74244727565,1515.21647715111,712.66,32.274,28.897,28.703,33.87,"Cellulose Acetate Butyrate (CAB)",93.94,"Comparstic Raman F2Ba Au IAEA 240930.csv",-937.963370945581,187.072099266825
19,111,262,70.4246737046201,70.4246737046201,"MP_-1",4225,8925,1875,60.4,39.6,30,60.4,"Protein",0.745,"Comparstic Spotlight F2Ba Au 240926.csv",-2519.79166666667,3948.95833333333,-3443.43156139016,2700.9938318717,"392",2613.36407880391,3997.48470810146,2427.492,70.215,45.218,45.195,71.443,"Polyamide (PA)",80.39,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3506.34173941732,2669.34033021718
20,248,139,75.2956085652859,75.2956085652859,"MP_-1",7900,4350,3750,80.9,59,75,80.9,"Protein",0.954,"Comparstic Spotlight F2Ba Au 240926.csv",1155.20833333333,-626.041666666667,1126.22348011414,162.453333091976,"176",7310.95911438823,1452.64311055223,944.006,35.399,35.274,34.17,37.098,"Polyacrylamide/acrylate",90.31,"Comparstic Raman F2Ba Au IAEA 240930.csv",1191.253296167,124.498732667945
21,350,303,80.3257129178701,80.3257129178701,"MP_23",11300,5175,1875,75,31.8,52.5,75,"PET",0.733,"Comparstic Spotlight F2Ba Au 240926.csv",4555.20833333333,198.958333333333,3653.61200033846,1986.05338572225,"73",9797.81988600638,3390.69527236729,319.502,32.068,22.732,22.732,35.018,"Polyacrylamide/acrylate",72.1,"Comparstic Raman F2Ba Au IAEA 240930.csv",3678.11406778515,2062.550894483
22,290,26,81.3101563166815,81.3101563166815,"MP_-1",9150,7200,1875,60.4,39.6,50,60.4,"Protein",0.682,"Comparstic Spotlight F2Ba Au 240926.csv",2405.20833333333,2223.95833333333,1199.2447934391,2933.72238160199,"113",7390.7545084914,4300.01832459332,804.935,33.87,30.426,30.426,34.91,"Cellulose Acetate Butyrate (CAB)",93.44,"Comparstic Raman F2Ba Au IAEA 240930.csv",1271.04869027017,2971.87394670904
23,299,37,86.7164874933536,86.7164874933536,"MP_-1",9450,7875,9375,226.6,52.7,75,226.6,"Cellulose",0.754,"Comparstic Spotlight F2Ba Au 240926.csv",2705.20833333333,2898.95833333333,1219.79559579342,3591.40263307205,"432",7356.31045348284,4834.4752448095,5169.542,120.584,59.27,58.943,124.514,"Cellulose Acetate Butyrate (CAB)",93.21,"Comparstic Raman F2Ba Au IAEA 240930.csv",1236.60463526161,3506.33086692521
24,121,152,91.1502004903407,91.1502004903407,"MP_-1",4375,7575,1875,60.4,39.6,30,60.4,"Protein",0.701,"Comparstic Spotlight F2Ba Au 240926.csv",-2369.79166666667,2598.95833333333,-2865.83981840314,1637.77392529153,"445",3270.67146188396,2876.33071757277,869.362,49.998,23.735,23.735,49.944,"Polyamide (PA)",89.72,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2849.03435633727,1548.18633968849
25,10,57,92.9555611154626,92.9555611154626,"MP_-1",1200,4450,2500,60.4,52.7,50,60.4,"Protein",0.72,"Comparstic Spotlight F2Ba Au 240926.csv",-5544.79166666667,-526.041666666667,-4434.38917214828,-2007.51021469741,"507",1736.76287883601,-601.944770708476,1277.02,45.828,36.619,36.166,46.499,"Polyamide (PA)",92.56,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4382.94293938522,-1930.08914859276
26,72,251,95.907224974821,95.907224974821,"MP_-1",3200,10200,5000,95.7,66.5,75,95.7,"Protein",0.924,"Comparstic Spotlight F2Ba Au 240926.csv",-3544.79166666667,5223.95833333333,-4717.6181503861,3408.18037459571,"467",1466.37704701881,4807.49406838613,1417.41,47.744,39.212,38.897,49.131,"Polyamide (PA)",81.46,"Comparstic Raman F2Ba Au IAEA 240930.csv",-4653.32877120242,3479.34969050184
27,60,105,96.5760846329162,96.5760846329162,"MP_5",2925,5850,19375,255.4,96.6,150,255.4,"PET",0.802,"Comparstic Spotlight F2Ba Au 240926.csv",-3819.79166666667,873.958333333333,-3482.05691898685,-272.692594037675,"641",2726.45539274868,1017.4998822774,857.498,34.858,32.746,30.724,39.756,"Cellulose Acetate Butyrate (CAB)",91.11,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3393.25042547255,-310.644495606885
