"raman_particle_id","ftir_particle_id","ftir_material","ftir_raman_distance","ldir_particle_id","ldir_material","ldir_raman_distance","raman_material"
"144","MP_-1","Protein",16.570223989289,"A16","Polyvinyl chloride",67.5933849835391,"Cellulose Acetate (CA)"
"167","MP_-1","Protein",12.7736216642425,"A105","Polyamide (naturally occurring)",54.1503759865799,"Polyacrylamide/acrylate"
"215","MP_-1","Protein",11.3970279886809,"A51","Polyamide (naturally occurring)",40.7204074784492,"Polyacrylamide/acrylate"
"23","MP_-1","Protein",3.0184923020236,"A191","Carbonate",74.3581088709685,"Cellulose Acetate Butyrate (CAB)"
"248","MP_-1","Cellulose",70.3142182760166,"A283","Polyamide (naturally occurring)",60.720174890692,"Polyamide (PA)"
"254","MP_-1","Protein",16.0310765381123,"A229","Rubber",13.2254305198415,"Polyamide (PA)"
"315","MP_-1","Protein",3.27757404160816,"A212","Polyamide (naturally occurring)",64.722401619951,"Cellulose Acetate Butyrate (CAB)"
"327","MP_-1","Cellulose",6.1513516504993,"A144","Polyamide (naturally occurring)",75.9282657444122,"Polyamide (PA)"
"361","MP_-1","Cellulose",29.6204136574654,"A180","Carbonate",78.1988747900962,"Polyacrylamide/acrylate"
"402","MP_14","PET",13.0183151657434,"A257","Polyethylene terephthalate",45.98465405718,"Polyethylene terephtalate (PET)"
"47","MP_-1","Cellulose",16.329736439962,"A29","Cellulosic",56.3164166948777,"Polyacrylamide/acrylate"
"470","MP_-1","Protein",27.1784352745923,"A114","Cellulosic",19.625145872455,"Polytetrafluoroethylene (PTFE)"
"474","MP_-1","Protein",4.6635777542917,"A127","Polyamide (naturally occurring)",60.4637037703878,"Polycarbonate (PC)"
"484","MP_-1","Protein",26.9041853401726,"A192","Polyamide (naturally occurring)",36.1911123748197,"Cellulose Acetate Butyrate (CAB)"
"561","MP_18","PET",15.6519464199206,"A224","Rubber",84.645462489837,"Polyethylene terephtalate (PET)"
"582","MP_-1","Protein",20.3003409209097,"A109","Polyamide (naturally occurring)",48.190966479938,"Cellulose Acetate Butyrate (CAB)"
"596","MP_-1","Protein",16.4036464391224,"A157","Polyamide (naturally occurring)",89.0933533557811,"Cellulose Acetate Butyrate (CAB)"
"610","MP_-1","Protein",11.4803193413817,"A120","Cellulosic",74.3457125817824,"Polyacrylamide/acrylate"
"658","MP_-1","Protein",44.8776614997854,"A134","Cellulosic",90.2301353258654,"Polyamide (PA)"
"67","MP_-1","Cellulose",11.827808992883,"A293","Polyamide",93.3686321682626,"Polyamide (PA)"
"674","MP_-1","Protein",19.644749254364,"A305","Polyethylene terephthalate",8.21530877496075,"Cellulose Acetate Butyrate (CAB)"
"701","MP_-1","Protein",3.01907979370888,"A92","Polyamide (naturally occurring)",55.3946461237646,"Polyacrylamide/acrylate"
"8","MP_-1","Protein",8.61507537660197,"A64","Carbonate",66.1314428040618,"Cellulose Acetate Butyrate (CAB)"
